track_id,title,artist,genre,tags,mood
1,Sunrise Drive,Neon Coast,pop,upbeat energetic summer dance bright,happy
2,Velvet Rain,Indigo Rooms,indie,mellow reflective acoustic soft chill,sad
3,Stormrunner,Pulse Engine,rock,aggressive intense heavy fast workout,angry
4,Night Bloom,LoWave,lofi,lofi chill study ambient calm focus,neutral
5,Shadow Steps,Eclipse Alley,electronic,dark tense eerie cinematic low-key,fear
6,Spark Shower,Glass City,edm,surprising dynamic fast exciting festival,surprise
7,Coastline,Golden Rivers,folk,acoustic mellow calm heartfelt,sad
8,Daylight,Sky Parade,pop,happy lively bright catchy dance,happy
9,Iron Clad,Rogue Signal,metal,gritty harsh raw heavy,disgust
10,Paper Lanterns,Kite Fields,indie,soft serene mellow cozy,sad
11,Midnight Sketches,Tape Haze,lofi,lofi neutral calm background study,neutral
12,Fireline,Volt Runner,rock,powerful fast punchy adrenaline,angry
13,Honey Glow,Citrus Ave,rnb,smooth soulful warm joyful,happy
14,Echoes in Fog,Gray Harbor,ambient,ambient airy minimal drone,neutral
15,Broken Umbrella,Blue Tram,indie,melancholy downbeat reflective,sad
16,Whiplash City,Neon Sparks,edm,high-energy club banger fast,surprise
17,Graveyard Whispers,Night Veil,electronic,ominous suspense brooding,fear
18,Citrus Skies,Apricot Echo,pop,sunny cheerful feelgood bubbly,happy
19,Rust & Roses,Ash Garden,alt,gritty bittersweet raw edge,disgust
20,Quiet Engines,Soft Transit,post-rock,expansive calm slow build,neutral
21,Thunder March,Drive Chain,rock,intense aggressive riff fast,angry
22,Silver Lining,Cloud Ballet,pop,uplifting positive joyful chorus,happy
23,Cold Rooms,Winter Script,indie,blue moody sad mellow,sad
24,Jump Scare,Flicker Tape,electronic,sudden dynamic startling odd,surprise
25,Tidepools,Sea Motel,ambient,soothing neutral background flow,neutral
